,CATEGORY (i.e.ISCED description),INSTITUTION and COURSE,Course Code,pointsR1,R1 Random *,pointsR2,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Round_1_Points,Round_2_Points,EOS_Points
1439,Biological and related sciences,Food Science with Business,WD164,309,,,,309,,440,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1440,Personal services,Culinary Arts,WD172,AQA,,AQA,,AQA,,301,6,Waterford Institute of Technology,,avp,,,,,,,,,,,,
1441,Personal services,Hospitality Studies,WD173,AQA,,,,AQA,,310,6,Waterford Institute of Technology,,,,,,,,,,,,,,
1442,Personal services,Tourism,WD174,AQA,,,,AQA,,226,6,Waterford Institute of Technology,,,,,,,,,,,,,,
1443,Physical sciences,Pharmaceutical Science,WD175,226,,,,226,,392,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1444,Biological and related sciences,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,222,,,,222,,473,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1445,Engineering and engineering trades,Electrical Engineering,WD182,AQA,,,,AQA,,302,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1446,Business and administration,Retail Management,WD184,163,,,,163,,346,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1449,Health,Applied Health Care,WD188,201,,,,201,,349,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1456,Health,Molecular Biology with Biopharmaceutical Science,WD205,228,,,,228,,446,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1457,Engineering and engineering trades,Electronic Engineering,WD206,179,,,,179,,373,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1458,Engineering and engineering trades,Mechanical Engineering,WD207,198,,,,198,,365,7,Waterford Institute of Technology,,,,,,,,,,,,,,
1459,Manufacturing and processing,Manufacturing Engineering,WD208,188,,,,188,,339,7,Waterford Institute of Technology,,,,,,,,,,,,,,
