,CATEGORY (i.e.ISCED description),INSTITUTION and COURSE,Course Code,pointsR1,R1 Random *,pointsR2,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Round_1_Points,Round_2_Points,EOS_Points
330,Business and administration,Business in Accounting,DB572,119,,117,,117,,368,7,Dublin Business School,,avp,,,,,,,,,,,,
331,Business and administration,Business in Marketing,DB573,117,,146,,117,,388,7,Dublin Business School,,avp,,,,,,,,,,,,
332,Information and Communication Technologies (ICTs),Business in Information Technology,DB574,136,,388,,136,,388,7,Dublin Business School,,avp,,,,,,,,,,,,
333,Arts,Film and Creative Media,DB576,AQA,,AQA,,AQA,,338,7,Dublin Business School,,avp,,,,,,,,,,,,
397,Business and administration,Business and Management,DK710,120,,120,,120,,352,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
398,Business and administration,Business and Technology,DK711,191,,,,191,,327,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
399,Business and administration,Digital Marketing and Public Relations,DK712,100,,100,,100,,349,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
400,Information and Communication Technologies (ICTs),Computing,DK721,106,,106,,106,,326,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
401,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK722,144,,144,,144,,348,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
402,Architecture and construction,Building Surveying,DK730,165,,,,165,,330,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
403,Architecture and construction,Architectural Technology,DK731,332,,,,332,,392,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
404,Architecture and construction,Construction Management,DK732,120,,,,120,,321,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
405,Engineering and engineering trades,Engineering - Electrical and Electronic Systems,DK740,179,,179,,179,,339,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
406,Engineering and engineering trades,Engineering - Mechanical Engineering,DK742,166,,166,,166,,312,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
407,Architecture and construction,Engineering - Civil Engineering,DK744,190,,157,,157,,341,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
408,Personal services,Hospitality Management,DK750,176,,176,,176,,279,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
409,Personal services,Event Management,DK752,175,,175,,175,,347,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
410,Personal services,Culinary Arts,DK753,182,,182,,182,,387,7,Dundalk Institute of Technology,,avp,v,,,,,,,,,,,
411,Personal services,"Sport, Exercise and Enterprise",DK763,233,,,,225,,329,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
412,Welfare,Community Youth Work (interview),DK767,240,,240,,240,,330,7,Dundalk Institute of Technology,#,avp,,,,,,,,,,,,
413,Arts,Audio and Music Production,DK768,261,,,,261,,361,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
414,Arts,Creative Media,DK769,165,,165,,165,,318,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
415,Arts,Theatre & Film Practice,DK770,190,,190,,190,,388,7,Dundalk Institute of Technology,,avp,,,,,,,,,,,,
416,Arts,Musical Theatre (audition),DK771,,,,,,,,7,Dundalk Institute of Technology,#,,,,,,,,,,,,,
417,Biological and related sciences,Science - Bioscience,DK781,358,,328,,208,,381,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
418,Biological and related sciences,Science - Pharmaceutical Science,DK783,349,,317,,210,,362,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
419,Veterinary,Veterinary Nursing,DK784,399,,,,399,,445,7,Dundalk Institute of Technology,,,,,,,,,,,,,,
451,Business and administration,Business - Applied Entrepreneurship,DL701,AQA,,AQA,,AQA,,359,7,"Dun Laoghaire Institute of Art, Design and Technology",,avp,,,,,,,,,,,,
513,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Higher Certificate),DS602,,,,,198,,367,6,Dorset College,,,,,,,,,,,,,,
514,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Certificate),DS603,,,,,423,,523,6,Dorset College,,,,,,,,,,,,,,
515,Business and administration,Business,DS701,,,,,299,,299,7,Dorset College,,,,,,,,,,,,,,
516,Information and Communication Technologies (ICTs),Computing and Multimedia (Level 7),DS702,,,,,290,,413,7,Dorset College,,,,,,,,,,,,,,
517,Business and administration,Business,GA160,163,,163,,163,,278,6,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
518,Business and administration,Business,GA170,250,,,,250,,420,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
519,Information and Communication Technologies (ICTs),Business Information Systems,GA171,250,,,,250,,367,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
520,Agriculture,Rural Enterprise and Agri-Business,GA172,277,,,,277,,382,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
521,Business and administration,Marketing and Sales,GA174,281,,,,282,,377,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
522,Business and administration,Finance,GA175,278,,,,278,,467,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
523,Business and administration,Business with Entrepreneurship,GA176,278,,,,278,,411,7,Galway-Mayo Institute of Technology,,,,,,,,,,,,,,
531,Social and behavioural sciences,Heritage Studies,GA272,188,,188,,188,,363,7,Galway-Mayo Institute of Technology,,avp,,,,,,,,,,,,
