Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
CR335,Biological Sciences (Common Entry),473,507.0,420,451.0,381,419,381,419
CR340,Analytical Chemistry with Quality Assurance,327,400.0,251,366.0,288,315,327,357
CR360,Instrument Engineering,301,378.0,261,388.0,291,329,297,362
CR365,Environmental Science and Sustainable Technology,262,347.0,253,341.0,334,362,307,366
CR370,Agri-Biosciences,368,423.0,397,453.0,408,431,,
CR400,Accounting,315,423.0,316,413.0,316,389,308,377
CR420,Marketing,290,357.0,285,346.0,288,329,288,337
CR425,International Business with Language,279,419.0,298,412.0,300,392,289,369
CR430,Sport and Exercise Management,402,434.0,322,407.0,,,,
CR440,Montessori Education,408,431.0,288,362.0,,,,
CR500,Engineering (Common Entry),475,499.0,411,465.0,381,424,391,434
CR510,Sustainable Energy Engineering,320,393.0,320,389.0,319,343,300,368
CR520,Biomedical Engineering,444,498.0,444,488.0,434,477,433,499
CR560,Architectural Technology,375,436.0,308,377.0,288,332,273,340
CR565,Interior Architecture,431,465.0,359,423.0,336,390,302,367
CR570,Quantity Surveying,375,429.0,336,392.0,279,342,282,351
CR572,Construction Management,300,349.0,269,318.0,253,300,252,299
CR580,Electrical Engineering,342,401.0,318,377.0,344,374,300,358
CR590,Electronic Engineering,329,409.0,303,379.0,342,411,300,372
CR600,Visual Communications at CIT Crawford College of Art and Design,280,510.0,,,587,888,640,935
CR660,Tourism Management,246,328.0,252,325.0,249,290,225,292
CR700,Theatre and Drama Studies at CIT Cork School of Music,609,894.0,645,982.0,768,906,703,977
CR930,Home Economics and Business,510,542.0,,,,,,
CK101,Arts - 3 years,300,400.0,300,388.0,300,368,300,368
CK102,Social Science,420,462.0,412,451.0,391,431,387,422
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339,485.0,302,435.0,340,409,368,450
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),420,488.0,319,418.0,397,442,400,462
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312,425.0,328,388.0,326,388,318,370
CK108,Arts International - 4 years,440,487.0,401,466.0,429,466,423,474
CK109,English - 3 years or 4 years (International Pathway),352,462.0,318,441.0,347,423,355,419
CK110,World Languages,488,522.0,410,506.0,456,506,452,507
CK111,Early Years and Childhood Studies,378,445.0,419,451.0,398,429,388,421
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371,533.0,330,434.0,324,470,334,430
CK113,Criminology - 3 years or 4 years (International Pathway),456,486.0,423,463.0,408,430,413,441
CK114,Social Science (Youth and Community Work),,,777,,,,777,
CK115,Social Work - Mature Applicants only,,,999,,,,999,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),339,444.0,336,378.0,307,361,338,393
CK120,Applied Psychology,543,555.0,531,555.0,506,532,485,521
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),478,522.0,466,496.0,393,466,401,445
CK122,Government and Political Science,397,465.0,326,403.0,355,410,,
CK123,Anthropology,308,429.0,308,410.0,,,,
CK124,Education - Gaeilge,473,522.0,452,495.0,,,,
CK125,Sports Studies and Physical Education,555,589.0,509,532.0,,,,
CK201,Commerce,499,532.0,477,509.0,465*,489,456,487
CK202,Accounting,532,566.0,509,542.0,467,506,452,498
CK203,Business Information Systems,445,490.0,430,467.0,409,444,430,466
CK204,Finance,566,601.0,556,590.0,531,555,520,554
CK205,Commerce (International) with French,462,522.0,445,495.0,409,473,462,495
CK206,Commerce (International) with German,455,521.0,418,476.0,408,446,476,509
CK207,Commerce (International) with Italian,418,441.0,388,455.0,408,425,418,434
CK208,Commerce (International) with Hispanic Studies,477,528.0,402,484.0,431,455,441,473
CK209,Commerce (International) with Irish,507,534.0,484,531.0,509,528,485,521
CK211,Commerce (International) with Chinese Studies,385,477.0,397,433.0,398,420,409,444
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,431,474.0,444,473.0,400,429,,
CK213,Food Marketing and Entrepreneurship,466,498.0,462,476.0,,,,
CK214,International Development,332,451.0,346,422.0,,,,
CK301,Law (Pathways) -  3 or 4 years,532,556.0,498,531.0,476,519,495,517
CK302,Law and French,545,564.0,542,576.0,453,531,542,566
CK304,Law and Irish,588,601.0,540,565.0,462,510,507,532
CK307,Law and Business,589,601.0,556,589.0,522,554,542,567
CK401,Computer Science,488,531.0,468,509.0,402,456,398,436
CK402,Biological and Chemical Sciences,554,577.0,509,532.0,498,520,487,520
CK404,"Biological, Earth and Environmental Sciences",487,521.0,465,498.0,412,451,431,462
CK405,Genetics,533,554.0,487,498.0,476,496,476,487
CK406,Chemical Sciences,532,554.0,462,494.0,457,488,462,477
CK407,Mathematical Sciences,566,601.0,565,601.0,531,578,543,578
CK408,Physics and Astrophysics,555,601.0,531,589.0,511,566,521,565
CK409,Industrial Physics - Offered jointly by UCC and CIT,465,509.0,432,499.0,413,532,511,531
CK411,Data Science and Analytics,531,577.0,509,554.0,509,542,455,509
CK412,Agricultural Science,506,544.0,489,510.0,457,509,,
CK504,Nutritional Sciences,544,566.0,517,554.0,492,509,507,520
CK505,Food Science,463,489.0,420,465.0,444,477,447,473
CK600,Engineering,499,555.0,487,532.0,465,532,443,521
CK606,Architecture - Offered jointly by UCC and CIT,543,565.0,469,510.0,465,496,433,476
CK701,Medicine (Undergraduate Entry - HPAT required),737,743.0,731,739.0,729,740,729,737
CK702,Dentistry,625,625.0,613,613.0,590,613,589,590
CK703,Pharmacy,613,625.0,589,602.0,577,589,555,567
CK704,Occupational Therapy,590,602.0,555,577.0,532*,554,522,543
CK705,Speech and Language Therapy,566,589.0,520,541.0,509,529,509*,530
CK706,Public Health Sciences,500,532.0,454,477.0,419,451,440,473
CK707,Medical and Health Sciences,578,601.0,541,555.0,510*,543,531,566
CK710,General Nursing,495,519.0,454,477.0,440,466,440*,473
CK712,Children`s and General Nursing (Integrated),565,578.0,533,553.0,499,520,510,543
CK720,Mental Health Nursing,452,467.0,419,440.0,398,429,414,431
CK730,Intellectual Disability Nursing,429,451.0,400,433.0,359,388,409*,434
CK740,Midwifery,509,543.0,473,507.0,444,474,440,455
CK791,Medicine  - Graduate Entry (GAMSAT required),60,61.0,57,58.0,58*,59,57*,58
AC120,International Business,294,352.0,209,280.0,234,269,269,288
AC137,Liberal Arts,270,334.0,252,270.0,252,275,219,298
CT125,Computing and IT,242,334.0,220,299.0,235,280,263,263
CT325,Business,253,337.0,281,338.0,,,289,289
CM001,Education - Primary Teaching,508,518.0,484,487.0,452*,462,462,473
CM002,Education - Primary Teaching - Gaeltacht Applicants,462,506.0,,,421,440,434,447
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,513,546.0,528,570.0,491,506,,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),480,618.0,494,513.0,492,569,,
CM010,Education Studies,327,440.0,317,407.0,317,373,326,392
CM020,Early Childhood Education,317,377.0,327,390.0,336,363,326,356
DB500,Computing,204,333.0,218,301.0,242,320,209,243
DB501,Computing (Cloud Computing),178,309.0,227,280.0,326,329,276,281
DB502,Computing (Data Analytics and Big Data),233,351.0,334,377.0,269,269,243,243
DB503,Computing (Software Development),,0.0,225,281.0,242,282,278,308
DB504,Computing (Web and Mobile Technology),,0.0,281,281.0,227,269,,
DB510,Audio Production and Music Project Management,217,317.0,223,290.0,233,293,,
DB512,Business Studies,210,347.0,203,308.0,229,301,236,332
DB514,Business Studies (Law),225,346.0,251,270.0,269,337,200,306
DB515,Business Studies (Human Resource Management),217,318.0,244,326.0,225,288,262,280
DB517,Marketing (Event Management),225,336.0,238,309.0,226,327,223,287
DB518,Marketing (Digital Media),209,354.0,,,210,289,230,358
DB521,Accounting and Finance,228,379.0,195,318.0,225,271,254,295
DB524,Business (Information Systems),239,327.0,309,409.0,402,402,,
DB525,Marketing (Digital Media and Cloud Computing),288,337.0,,,284,309,230,230
DB526,Business (Cloud Computing),244,327.0,347,423.0,253,288,272,291
DB527,Applied Social Care,219,308.0,234,306.0,235,288,,
DB531,Marketing,176,368.0,293,336.0,220,288,230,298
DB562,Psychology,233,342.0,229,322.0,208,310,202,300
DB566,Social Science,228,319.0,220,290.0,216,308,210,288
DB567,Film and Creative Media,213,298.0,202,290.0,192,295,209,294
DB568,Law,228,347.0,217,309.0,245,308,203,300
DB569,Business (Psychology),240,338.0,252,284.0,279,338,253,295
DC001,Education - Early Childhood Education,445,474.0,440,462.0,398,424,388,418
DC002,Education - Primary Teaching,518,543.0,488,520.0,462*,485,464,496
DC003,Education - Primary Teaching - Gaeltacht Applicants,496,509.0,445,462.0,433,473,424,443
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),451,,409,463.0,357,,397,397
DC009,Arts (Joint Honours) - Humanities,356,431.0,376,423.0,347,408,356,399
DC010,Post Primary Teacher Education - Religious Education and English,384,441.0,429,465.0,386,413,349,419
DC011,Post Primary Teacher Education - Religious Education and History,409,455.0,391,429.0,352,389,373,409
DC012,Post Primary Teacher Education - Religious Education and Music,409,451.0,378,420.0,367,415,367,410
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413,510.0,419,487.0,410,509,,
DC014,BA in Jazz and Contemporary Music Performance (audition),311,634.0,419,605.0,428,590,248,389
DC110,Business Studies International,498,526.0,465,488.0,440,462,445,475
DC111,Business Studies,511,532.0,488,507.0,463,479,463,484
DC112,Global Business (France),542,564.0,510,532.0,495,510,487,510
DC113,Global Business (Germany),484,529.0,462,496.0,440,476,455,499
DC114,Global Business (Spain),544,562.0,522,545.0,501,543,499,543
DC115,Accounting and Finance,544,578.0,510,544.0,487,500,480,499
DC116,Global Business (USA),613,625.0,579,601.0,578,589,578,589
DC117,Aviation Management / Aviation Management with Pilot Studies,484,520.0,475,500.0,463,487,456,487
DC118,Gnó agus Gaeilge / Business and Irish,368,419.0,359,429.0,357,399,362,403
DC119,Global Business (Canada),601,601.0,564,577.0,566,577,565,566
DC120,Computing for Business,402,440.0,357,392.0,350,389,354,392
DC121,Computer Science,476,498.0,400,455.0,370,418,377,418
DC123,Data Science,501,542.0,465,531.0,467,511,476,531
DC126,Actuarial Mathematics,577,601.0,560,578.0,520,543,520,544
DC127,Common Entry into Actuarial and Financial Mathematics,541,566.0,520,543.0,509,531,509,521
DC131,Communication Studies,421,479.0,402,451.0,400,441,403,462
DC132,Journalism,452,487.0,422,466.0,401,440,400,442
DC133,Multimedia,435,473.0,410,451.0,403,451,410,451
DC155,Applied Language and Translation Studies,431,476.0,387,444.0,371,430,388,442
DC161,Analytical Science,498,521.0,489,510.0,446,463,455,467
DC162,Chemical and Pharmaceutical Sciences,532,543.0,521,544.0,488,498,476,487
DC163,Chemical Sciences General Entry (Undenominated Entry),466,510.0,,,,,,
DC166,Environmental Science and Technology,423,466.0,399,441.0,412,442,341,392
DC168,Genetics and Cell Biology,543,555.0,510,529.0,489,500,487,498
DC175,Physics General Entry (options),400,479.0,402,467.0,,,,
DC180,Biological Sciences General Entry (Undenominated Entry),530,543.0,,,,,,
DC181,Biotechnology,530,544.0,495,511.0,476,488,476,500
DC190,Electronic and Computer Engineering (with choice of four majors),488,532.0,413,465.0,391,433,393,476
DC193,Mechatronic Engineering,490,532.0,411,487.0,404,445,403,487
DC194,Sustainable Systems and Energy,488,509.0,,,,,,
DC195,Mechanical and Manufacturing Engineering,500,521.0,425,487.0,401,444,400,445
DC197,Biomedical Engineering,510,543.0,423,477.0,402,446,402,458
DC200,Common Entry into Engineering (Undenominated Entry),510,543.0,422,487.0,381,444,382,455
DC202,Sport Science and Health,511,532.0,498,521.0,467,476,473,487
DC203,Science Education,462,509.0,435,487.0,424,476,422,455
DC204,Athletic Therapy and Training,558,578.0,519,533.0,484,500,498,521
DC205,Physical Education with Biology,565,578.0,531,553.0,490,521,511,530
DC206,Physical Education with Mathematics,521,544.0,499,520.0,443,476,487,509
DC207,Psychology and Mathematics,521,543.0,,,,,,
DC208,Psychology,565,577.0,521,533.0,509,521,488,509
DC209,Health and Society,477,509.0,440,466.0,419,440,430,465
DC210,Psychology and Disruptive Technologies,506,532.0,,,,,,
DC215,General Nursing,456,485.0,433,462.0,414,443,420,434
DC216,Mental Health Nursing,420,440.0,403,424.0,368,389,380,389
DC217,Intellectual Disability Nursing,382,402.0,370,390.0,347,362,366,378
DC218,Children`s and General Nursing (Integrated),521,554.0,498,522.0,467,480,473,488
DC230,"Economics, Politics and Law",431,468.0,435,462.0,400,431,400,431
DC231,International Relations,399,458.0,397,433.0,387,445,400,452
DC232,Law and Society (BCL),469,511.0,466,496.0,453,487,455,477
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),302,370.0,309,357.0,307,327,306,346
DC238,Social Sciences and Cultural Innovation,387,440.0,377,411.0,358,388,366,388
DC240,"Marketing, Innovation and Technology",499,532.0,474,498.0,451,474,451,476
DC241,Digital Business and Innovation,509,533.0,,,,,,
DC291,Arts (Joint Honours) - Media Studies,350,440.0,376,409.0,349,392,354,398
DC292,Arts (Joint Honours) - Law,400,440.0,403,430.0,356,388,351,389
DC293,Arts (Joint Honours) - International Languages,379,467.0,377,466.0,369,400,358,429
DC294,Climate and Environmental Sustainability,475,489.0,,,,,,
DC295,Arts (Joint Honours) - Politics,349,409.0,376,409.0,348,387,350,390
DL822,Arts Management,254,356.0,235,337.0,209,319,193,298
DL823,Business Management,220,318.0,237,325.0,260,316,214,297
DL825,Applied Psychology,413,462.0,379,434.0,349,413,371,411
DL826,Graphic Design,591,824.0,855,1024.0,736,989,988,1045
DL827,Art,574,906.0,572,941.0,583,902,549,773
DL832,Animation,989,1098.0,920,1022.0,855,1055,929,1044
DL833,Photography and Visual Media,665,877.0,667,854.0,636,791,566,812
DL836,Creative Computing,235,339.0,219,300.0,217,326,200,318
DL837,New Media Studies,293,359.0,201,316.0,290,349,306,347
DL838,Creative Music Production,713,979.0,754,972.0,746,873,856,925
DL839,Interaction and User Experience Design,757,1087.0,683,990.0,,,,
DL840,Digital Marketing,210,347.0,228,327.0,,,,
DL841,English and Equality Studies,277,357.0,276,341.0,,,,
DL843,Film,874,1000.0,,,,,,
DL844,Television,566,947.0,,,,,,
DL845,Design for Film (degree options),630,900.0,,,,,,
GC200,Business,242,377.0,252,369.0,269,359,263,361
GC201,Accounting and Finance,226,270.0,303,388.0,251,388,265,388
GC230,Computing Science,289,351.0,325,393.0,228,327,256,297
GC250,Communications and Media Production,,,,,,,,
GC300,Business,264,377.0,390,432.0,251,302,290,399
GC301,Accounting and Finance,251,251.0,253,346.0,307,314,,
GC302,Business - HRM,329,377.0,,,269,269,,
GC307,Business (Marketing),270,289.0,,,,,,
GC400,Business,228,318.0,248,281.0,246,297,254,326
GC401,Accounting and Finance,242,337.0,202,343.0,181,309,218,312
GC402,Business (HRM),,0.0,218,236.0,217,290,262,320
GC403,Law,242,319.0,228,328.0,225,308,218,297
GC407,Business (Marketing),176,318.0,218,321.0,246,330,235,285
GC430,Computing Science,251,325.0,220,298.0,217,269,219,339
GC450,Communications and Media Production,225,321.0,254,280.0,227,307,193,316
GC462,Design Communication (portfolio),300,300.0,,,,,,
GC489,Interior Architecture (portfolio),274,429.0,254,301.0,267,361,,
GC494,Fashion Design (portfolio),309,588.0,217,412.0,,,346,346
BY001,Business,210,323.0,,,,,,
ID001,Accounting and Finance,,0.0,203,253.0,229,291,310,310
ID002,Business Studies,273,340.0,294,309.0,285,366,,
AD101,"First Year Art and Design (Common Entry,portfolio)",554,604.0,,, +mat,550,,
AD102,Graphic Design and Moving Image Design (portfolio),538,625.0,,, +mat,635,,
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),505,581.0,,, +mat,545,,
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",591,620.0,,, +mat,580,,
AD204,Fine Art (portfolio),514,583.0,,, +mat,600,,
AD211,Fashion Design (portfolio),679,679.0,,, +mat,600,,
AD212,Product Design (portfolio),413,569.0,,, +mat,600,,
AD215,Visual Culture,300,380.0,320,389.0,300,338,279,
AD217,Illustration (portfolio),738,,,, +mat,625,,
AD222,Interaction Design (portfolio),444,488.0,,, +mat,657,,
NC003,Computing (Degree Award options),271,334.0,260,303.0,261,316,280,318
NC005,Human Resource Management,301,360.0,300,331.0,297,320,301,331
NC009,Business,300,371.0,300,346.0,297,339,300,342
NC010,Psychology,420,465.0,400,440.0,366,399,350,377
NC020,Marketing Practice,270,329.0,282,338.0,270,307,303,337
NC022,Accounting and Finance,330,390.0,337,378.0,338,376,341,391
NC023,Technology Management (with specialisations),266,356.0,261,282.0,260,303,289,328
NC030,Early Childhood Education and Care,251,308.0,,,,,,
RC001,Medicine - Undergraduate Entry (HPAT required),740,741.0,733,738.0,729,733,730*,731
RC004,Physiotherapy,589,589.0,566,567.0,532*,542,532*,543
RC005,Pharmacy,602,613.0,578,589.0,555,566,544,554
RC101,Medicine - Graduate Entry (GAMSAT required),62,66.0,61,63.0,60,62,58*,61
NM801,Montessori Education,262,320.0,220,290.0,,,,
NM802,Psychology,228,338.0,,,,,,
TU801,Sustainable Energy Engineering,235,329.0,235,381.0,,,,
TU802,Electrical Services and Energy Management,290,359.0,300,352.0,,,,
TU804,Engineering (Common Entry with Award options),270,361.0,271,338.0,,,,
TU805,Engineering (General Entry),465,499.0,402,466.0,,,,
TU807,Computer Engineering in Mobile Systems,274,339.0,276,305.0,,,,
TU810,Mechatronic Engineering,271,399.0,271,312.0,,,,
TU811,Product Design,434,479.0,411,444.0,,,,
TU812,"Design,Technology and Innovation",278,335.0,270,350.0,,,,
TU814,Sustainable Transport Management,253,349.0,251,372.0,,,,
TU828,Mechanical Engineering (General Entry),300,386.0,,,,,,
TU829,Electronic Engineering (General Entry),243,354.0,,,,,,
TU831,Architectural Technology,423,455.0,410,444.0,,,,
TU832,Architecture (Suitability Test and Interview),638,682.0,622,658.0,,,,
TU833,Construction Management,396,429.0,367,404.0,,,,
TU834,Geographic Science,315,370.0,288,357.0,,,,
TU835,Planning and Environmental Management,330,393.0,313,349.0,,,,
TU836,Property Economics (Valuation Surveying),411,444.0,401,433.0,,,,
TU837,Quantity Surveying and Construction Economics,413,455.0,385,418.0,,,,
TU838,Sustainable Timber Technology,271,385.0,,,,,,
TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",400,464.0,349,419.0,,,,
TU852,Chemical Sciences with Medicinal Chemistry,477,499.0,476,498.0,,,,
TU854,Science (General Entry),510,532.0,476,495.0,,,,
TU855,Science with Nanotechnology,322,382.0,319,368.0,,,,
TU856,Computer Science,499,531.0,476,487.0,,,,
TU857,Computer Science (Infrastructure),403,443.0,391,419.0,,,,
TU858,Computer Science (International),395,444.0,377,424.0,,,,
TU859,Computing,251,336.0,217,308.0,,,,
TU860,Computing (Information Technology),270,356.0,260,329.0,,,,
TU861,Computing with Language (French/German/Spanish),235,370.0,308,348.0,,,,
TU862,Computing with Artificial Intelligence Machine Learning,262,310.0,226,288.0,,,,
TU863,Digital Forensics and Cyber Security,282,346.0,280,338.0,,,,
TU864,DNA and Forensic Analysis,441,465.0,390,429.0,,,,
TU865,Cloud Computing,235,308.0,226,331.0,,,,
TU866,Biomedical and Molecular Diagnostics,522,540.0,487,498.0,,,,
TU867,Biomedical Science,565,578.0,524,542.0,,,,
TU868,Clinical Measurement Science,542,554.0,510,520.0,,,,
TU869,Environmental Health,387,434.0,336,375.0,,,,
TU870,Human Nutrition and Dietetics,600,613.0,578,589.0,,,,
TU871,Optometry,532,544.0,509,530.0,,,,
TU872,Public Health Nutrition,487,521.0,491,512.0,,,,
TU874,Mathematical Sciences,294,434.0,343,407.0,,,,
TU875,Pharmaceutical Healthcare,451,477.0,400,440.0,,,,
TU876,Pharmaceutical Science,445,474.0,349,391.0,,,,
TU877,Physics Technology,314,422.0,308,373.0,,,,
TU878,Physics with Energy and Environment,339,408.0,331,444.0,,,,
TU879,Physics with Medical Physics and Bioengineering,346,430.0,351,403.0,,,,
TU880,Physics with Data Science,412,532.0,,,,,,
TU881,Food Innovation,309,423.0,318,389.0,,,,
TU882,Nutraceuticals in Health and Nutrition,380,447.0,397,442.0,,,,
TU902,Business (options),270,327.0,271,359.0,,,,
TU903,Business and Management,477,509.0,463,485.0,,,,
TU904,Business and Law,462,486.0,462,487.0,,,,
TU905,Economics and Finance,460,488.0,465,488.0,,,,
TU906,Human Resource Management,377,412.0,395,414.0,,,,
TU907,Logistics and Supply Chain Management,300,367.0,300,387.0,,,,
TU910,Accounting,420,462.0,444,466.0,,,,
TU912,Business Analytics,311,367.0,330,366.0,,,,
TU914,Business Computing,322,377.0,324,366.0,,,,
TU917,Law (LLB ) with a Language,356,451.0,342,433.0,,,,
TU918,Law (LLB),463,499.0,451,478.0,,,,
TU919,Advertising and Marketing Communications,219,327.0,226,311.0,,,,
TU920,Digital Marketing,270,339.0,270,318.0,,,,
TU921,Digital Marketing Technologies,230,298.0,234,300.0,,,,
TU922,Marketing,412,446.0,418,443.0,,,,
TU924,E-Commerce in Retailing,307,380.0,307,380.0,,,,
TU925,Retail and Services Management,307,368.0,301,362.0,,,,
TU932,Business (options),211,337.0,,,,,,
TU933,Accounting and Finance (campus options),251,346.0,,,,,,
TU935,Sports Management and Coaching,300,368.0,300,347.0,,,,
