Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
GY204,Commerce (International) with Spanish,506,,495,,495,484,473
GY206,Business Information Systems (Work Placement and O,509,,465,,465,431,430
GY207,Commerce (Accounting) including optional Global Ex,543,,509,,509,486,473
GY208,Commerce (Gaeilge),508,,473,,473,473,451
GY209,Commerce (Global Experience),551,,530,,530,509,509
GY250,Law and Business,510,,487,,487,436,409
GY251,Law (BCL),542,,499,,499,473,451
GY252,Law (BCL) and Human Rights,565,,520,,520,510,
GY253,Law and Taxation,506,,509,,509,,
GY254,Law (BCL)  Criminology and Criminal Justice,548,,530,,530,,
GY261,Business Studies in International Hotel Management,503,,497,,497,#486,#496
GY262,Commerce in International Hotel Management (interv,709,,681,,681,#671,#657
GY301,Science,489,488,433,432,432,400,401
GY303,Biomedical Science,613,,556,,556,533,531
GY304,Biotechnology,498,495,465,,465,473,454
GY308,Environmental Science,431,430,408,,408,413,402
GY309,Financial Mathematics and Economics,509,,487,,487,454,476
GY310,Marine Science,467,,419,,419,409,421
GY313,Environmental Health and Safety,412,,412,,412,402,367
GY314,Earth and Ocean Sciences,422,,403,,403,402,400
GY318,Biopharmaceutical Chemistry,555,,509,,509,510,487
GY319,Mathematical Science,543,,476,,476,456,450
GY320,Physics (Degree options: Applied Astrophysics Biom,465,,402,,402,401,432
GY321,Genetics and Genomics,532,,508,,508,,
GY322,Agricultural Sciences,485,,,,,,
GY350,Computer Science and Information Technology,495,,403,,403,425,401
GY401,Engineering (Undenominated),522,520,465,,465,444,432
GY402,Civil Engineering,533,521,455,,455,509,455
GY405,Mechanical Engineering,541,,454,,454,443,414
GY406,Electronic and Computer Engineering,555,,510,,510,509,466
GY408,Biomedical Engineering,554,,509,,509,519,487
GY410,Project and Construction Management,431,,403,,403,434,402
GY413,Energy Systems Engineering,509,,502,,502,532,454
GY414,Electrical and Electronic Engineering,433,,405,,405,454,425
GY501,Medicine (five year/six year course  HPAT required,737,737,728,,728,#726*,#724*
GY502,Occupational Therapy,601,,555,,555,532,521
GY503,Speech and Language Therapy,578,,543,,543,529,529
GY504,Podiatric Medicine,531,526,443,,443,434,391
GY515,General Nursing (Galway and Portiuncula),502,496,476,473,473,442,445
GY516,Mental Health Nursing,475,441,440,,440,388,401
GY517,Midwifery,520,509,495,,495,429,445
LY108,Business - Accounting,312,,309,,309,318,303
LY118,Business,288,,290,,290,287,283
LY128,Marketing with Online Technologies,261,261,,,,,
LY208,Law,300,290,300,,300,300,270
LY228,Sports and Exercise - Common Entry,290,,300,,300,278,263
LY408,Design - Common Entry,301,,320,,320,#307,#290
LY508,Fire Safety Engineering,283,,276,,276,270,242
LY518,Quantity Surveying,304,,301,,301,307,316
LY528,Construction Management,262,,271,,271,267,260
LY538,Architectural Technology,234,234,,,,,
LY608,Mechanical Engineering,300,,300,,300,304,300
LY618,Electronic Engineering,321,,312,,312,307,
LY708,Applied Computing,320,,306,,306,300,307
LY748,Computer Science,316,,317,317,317,,
LY818,Science - Common Entry,302,,303,,303,302,307
LY828,Agriculture - Common Entry,308,300,307,,307,300,301
LY908,General Nursing,429,,400,,400,383,373
LY918,Psychiatric Nursing,367,,357,,357,291*,318*
LY928,Intellectual Disability Nursing,357,,326,,328,288,297
LY968,Early Childhood Care  Health and Education,288,,303,,303,300,279
LY978,Health and Social Care - Common Entry,279,,280,,280,260,269
MI001,Contemporary and Applied Theatre Studies,209,,375,,390,345,290
MI002,Arts,280,,300,281,281,300,320
MI004,Education - Primary Teaching - International,589,,577,,577,,
MI005,Education - Primary Teaching,522,,495,,495,473*,474
MI006,Education - Primary Teaching - Gaeltacht Applicant,485,,456,,462,#442,#441
MI007,Early Childhood Care and Education,409,,357,,357,366,356
MI008,Education and Psychology - Primary Teaching,590,,588,,588,543,552
MI009,Education  Business Studies and Accounting,434,,402,,402,392,367
MI010,Education  Business Studies and Religious Studies,370,,368,,368,326,326
MI011,Education  Gaeilge and Religious Studies,407,,409,,409,377,377
MI012,Education  Gaeilge and Business Studies,387,,401,,401,398,387
MI013,Education  Mathematics and Gaeilge,509,,444,,444,433,
MI014,Education  Mathematics and Business Studies,476,,434,,434,,
CI110,Counselling and Psychotherapy,292,,310,,310,,
CI111,Counselling and Psychotherapy with Addiction Studi,290,,301,,301,,
CI112,Counselling and Psychotherapy with Youth Studies,325,,311,,311,,
LC110,Art and Design (Common Entry  portfolio),794,,740,,740,#734,#718
LC114,Fashion and Textiles for Product and Costume (port,914,,880,,880,#900,#779
LC115,Art and Design Teacher Education (LIT and UL  port,993,,942,,942,,
LC220,Digital Marketing,263,,262,,262,254,309
LC223,Law and Taxation,331,,307,,307,308,307
LC224,Accounting and Finance,300,,300,,300,299,297
LC225,Marketing and Management,298,,298,,298,298,326
LC226,Enterprise and Innovation,255,,234,234,234,216,234
LC233,Software Development,280,,272,,272,300,272
LC234,Immersive Digital Media and Spatial Computing,226,,225,,225,219,254
LC236,Internet Systems Development,260,,262,260,260,298,308
LC239,Computer Networks and Systems Management,317,,307,,309,335,300
LC241,Construction Management,326,,255,,255,276,271
LC242,Property Valuation and Management,308,,282,,282,292,298
LC243,Quantity Surveying,278,,294,,298,281,302
LC248,Built Environment (Common Entry),300,,288,,288,307,302
LC252,Civil Engineering Management,264,,270,,270,281,288
LC263,Medical Technology,391,,294,,294,282,
LC265,Forensic and Pharmaceutical Sciences,498,,413,,413,335,341
LC266,Drug and Medicinal Product Analysis,252,,262,,262,236,263
LC275,Electrical Engineering,361,347,298,,298,288,284
LC288,Mechanical Engineering,378,369,347,346,346,307,301
LC289,Precision Engineering,261,,291,,291,280,
LC292,Social Care Work,374,,367,,367,360,326
LC293,Business Studies with Travel and Tourism Managemen,271,264,307,,307,299,290
LC294,Business Studies with Event Management,279,,279,,279,271,270
LC295,Business Studies with Sports Management,262,,252,,252,263,271
LC297,Community and Addiction Studies,272,262,235,,235,217,241
LC320,Business,381,,346,,346,337,
LC330,Business with Computing,328,308,297,,297,298,303
LC340,Interior Design,391,368,350,,350,298,
LC362,Biotechnology and Biopharmaceutical Sciences,429,,413,,413,379,
LC371,Creative Broadcast and Film Production,325,310,309,,309,298,307
LC372,Music Technology and Production,377,,325,,325,321,338
LC374,Renewable and Electrical Energy Engineering,337,319,318,,318,317,313
LC375,Industrial Automation and Robotic Systems,309,,317,,317,321,309
LC376,Electronic Engineering with Computer Systems,357,,318,,318,308,353
LC380,Automotive Engineering and Transport Management,298,,303,298,298,282,
LC392,Business Studies in Beauty and Spa Management,328,317,236,,236,217,
LC393,Early Childhood Education and Care,309,276,236,,236,260,
LC402,Social Care Work,228,,225,,225,209,307
LC408,Environmental Science and Climate,279,,279,,279,262,300
LC416,Business,260,,274,,274,,
LC418,Computing - Games Design and Development,260,256,270,,270,271,269
LC422,Applied Strength and Conditioning,289,,298,,298,288,298
LC502,Game Art and Design (portfolio),841,,852,,852,#838,#741
LC517,Creative Media and Design,279,,234,,234,229,246
LC518,Digital Animation Production (portfolio),807,,808,,808,#816,#796
LC612,Social Care Work,309,,320,,320,319,
LM002,Arts,360,360,348,,348,329,363
LM019,Social Sciences,451,,,,,,
LM020,Law and Accounting,474,,465,,465,436,440
LM026,Performing Arts (audition format TBC),329,,303,,303,#307,#302
LM028,Criminal Justice,420,,418,,418,387,400
LM029,Law Plus,530,,490,,490,473,477
LM038,Psychology and Sociology,530,,500,,500,478,484
LM039,Journalism and Digital Communication,432,,402,,402,388,410
LM040,European Studies,409,,369,,369,350,378
LM044,Applied Languages,429,,442,,442,404,430
LM050,Business Studies (options),451,,431,,431,419,423
LM056,International Business,555,,528,,528,511,510
LM058,Financial Mathematics,468,,403,,403,434,466
LM063,Technology Management,410,,379,,379,372,372
LM066,Environmental Science,430,,,,,,
LM068,Food Science and Health,464,,421,,421,400,408
LM076,Product Design and Technology (portfolio required),401,,408,,408,#402,420
LM077,Aeronautical Engineering,567,,520,,520,469,466
LM082,Construction Management and Engineering,446,,398,,398,368,358
LM089,Sport and Exercise Sciences,498,,474,,474,441,451
LM090,Physical Education with concurrent Teacher Educati,552,544,532,,532,498*,495
LM091,Languages with concurrent Teacher Education,506,,517,,517,,
LM092,Science with Teacher Ed (Biology with Physics/Chem,521,,507,,507,478,465
LM093,Equine Science,367,,339,,339,338,308
LM094,Materials and Architectural Technology with concur,475,,440,,440,405,398
