Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312.0,,312.0,425.0,328.0,,328.0,388.0,326.0,,318.0,370.0
CK108,Arts International - 4 years,440.0,440.0,440.0,487.0,401.0,,401.0,466.0,429.0,,423.0,474.0
CK109,English - 3 years or 4 years (International Pathway),367.0,357.0,352.0,462.0,318.0,,318.0,441.0,347.0,,355.0,419.0
CK110,World Languages,488.0,,488.0,522.0,452.0,433.0,410.0,506.0,456.0,,452.0,507.0
CK111,Early Years and Childhood Studies,409.0,403.0,378.0,445.0,419.0,,419.0,451.0,398.0,,388.0,421.0
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371.0,,371.0,533.0,330.0,,330.0,434.0,324.0,,334.0,430.0
CK113,Criminology - 3 years or 4 years (International Pathway),464.0,463.0,456.0,486.0,423.0,,423.0,463.0,408.0,,413.0,441.0
CK114,Social Science (Youth and Community Work),,,,,,,777.0,,,,777.0,
CK115,Social Work - Mature Applicants only,,,,,,,999.0,,,,999.0,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),347.0,339.0,339.0,444.0,336.0,,336.0,378.0,307.0,,338.0,393.0
CK120,Applied Psychology,544.0,543.0,543.0,555.0,533.0,532.0,531.0,555.0,506.0,,485.0,521.0
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),499.0,488.0,478.0,522.0,466.0,,466.0,496.0,393.0,,401.0,445.0
CK122,Government and Political Science,399.0,,397.0,465.0,337.0,328.0,326.0,403.0,355.0,,,
CK123,Anthropology,308.0,,308.0,429.0,308.0,,308.0,410.0,,,,
CK124,Education - Gaeilge,473.0,,473.0,522.0,463.0,462.0,452.0,495.0,,,,
CK125,Sports Studies and Physical Education,564.0,555.0,555.0,589.0,510.0,509.0,509.0,532.0,,,,
CK201,Commerce,500.0,499.0,499.0,532.0,477.0,,477.0,509.0,465.0,,456.0,487.0
CK202,Accounting,553.0,543.0,532.0,566.0,509.0,,509.0,542.0,467.0,,452.0,498.0
CK203,Business Information Systems,455.0,452.0,445.0,490.0,430.0,,430.0,467.0,409.0,,430.0,466.0
CK204,Finance,566.0,566.0,566.0,601.0,556.0,,556.0,590.0,531.0,,520.0,554.0
CK205,Commerce (International) with French,465.0,,462.0,522.0,445.0,,445.0,495.0,409.0,,462.0,495.0
CK206,Commerce (International) with German,466.0,455.0,455.0,521.0,420.0,418.0,418.0,476.0,408.0,,476.0,509.0
CK207,Commerce (International) with Italian,423.0,418.0,418.0,441.0,388.0,,388.0,455.0,408.0,,418.0,434.0
CK208,Commerce (International) with Hispanic Studies,488.0,486.0,477.0,528.0,402.0,,402.0,484.0,431.0,,441.0,473.0
CK209,Commerce (International) with Irish,507.0,,507.0,534.0,484.0,,484.0,531.0,509.0,,485.0,521.0
CK211,Commerce (International) with Chinese Studies,385.0,,385.0,477.0,397.0,,397.0,433.0,398.0,,409.0,444.0
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,445.0,444.0,431.0,474.0,444.0,,444.0,473.0,400.0,,,
CK213,Food Marketing and Entrepreneurship,466.0,,466.0,498.0,462.0,,462.0,476.0,,,,
CK214,International Development,332.0,,332.0,451.0,346.0,,346.0,422.0,,,,
CK301,Law (Pathways) -  3 or 4 years,533.0,532.0,532.0,556.0,507.0,499.0,498.0,531.0,476.0,,495.0,517.0
CK302,Law and French,545.0,,545.0,564.0,542.0,,542.0,576.0,453.0,,542.0,566.0
CK304,Law and Irish,588.0,,588.0,601.0,540.0,,540.0,565.0,462.0,,507.0,532.0
CK307,Law and Business,589.0,589.0,589.0,601.0,556.0,,556.0,589.0,522.0,,542.0,567.0
CK401,Computer Science,503.0,495.0,488.0,531.0,468.0,,468.0,509.0,402.0,,398.0,436.0
CK402,Biological and Chemical Sciences,555.0,555.0,554.0,577.0,510.0,509.0,509.0,532.0,498.0,,487.0,520.0
CK404,"Biological, Earth and Environmental Sciences",500.0,495.0,487.0,521.0,467.0,,465.0,498.0,412.0,,431.0,462.0
CK405,Genetics,543.0,,533.0,554.0,487.0,,487.0,498.0,476.0,,476.0,487.0
CK406,Chemical Sciences,532.0,,532.0,554.0,485.0,472.0,462.0,494.0,457.0,,462.0,477.0
CK407,Mathematical Sciences,566.0,,566.0,601.0,566.0,565.0,565.0,601.0,531.0,,543.0,578.0
CK408,Physics and Astrophysics,566.0,,555.0,601.0,554.0,542.0,531.0,589.0,511.0,,521.0,565.0
CK409,Industrial Physics - Offered jointly by UCC and CIT,465.0,,465.0,509.0,432.0,,432.0,499.0,413.0,,511.0,531.0
CK411,Data Science and Analytics,531.0,,531.0,577.0,510.0,,509.0,554.0,509.0,,455.0,509.0
CK412,Agricultural Science,506.0,,506.0,544.0,496.0,496.0,489.0,510.0,457.0,,,
CK504,Nutritional Sciences,555.0,554.0,544.0,566.0,518.0,,517.0,554.0,492.0,,507.0,520.0
CK505,Food Science,463.0,,463.0,489.0,441.0,440.0,420.0,465.0,444.0,,447.0,473.0
CK600,Engineering,510.0,509.0,499.0,555.0,487.0,,487.0,532.0,465.0,,443.0,521.0
CK606,Architecture - Offered jointly by UCC and CIT,543.0,,543.0,565.0,484.0,476.0,469.0,510.0,465.0,,433.0,476.0
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,737.0,737.0,743.0,731.0,,731.0,739.0,729.0,,729.0,737.0
CK702,Dentistry,625.0,625.0,625.0,625.0,613.0,613.0,613.0,613.0,590.0,,589.0,590.0
CK703,Pharmacy,613.0,613.0,613.0,625.0,590.0,589.0,589.0,602.0,577.0,,555.0,567.0
CK704,Occupational Therapy,601.0,,590.0,602.0,566.0,555.0,555.0,577.0,532.0,,522.0,543.0
CK705,Speech and Language Therapy,568.0,566.0,566.0,589.0,520.0,,520.0,541.0,509.0,,509.0,530.0
CK706,Public Health Sciences,500.0,,500.0,532.0,454.0,,454.0,477.0,419.0,,440.0,473.0
CK707,Medical and Health Sciences,578.0,,578.0,601.0,542.0,541.0,541.0,555.0,510.0,,531.0,566.0
CK710,General Nursing,498.0,497.0,495.0,519.0,454.0,,454.0,477.0,440.0,,440.0,473.0
CK712,Children`s and General Nursing (Integrated),565.0,,565.0,578.0,533.0,,533.0,553.0,499.0,,510.0,543.0
CK720,Mental Health Nursing,455.0,452.0,452.0,467.0,423.0,,419.0,440.0,398.0,,414.0,431.0
CK730,Intellectual Disability Nursing,431.0,,429.0,451.0,419.0,411.0,400.0,433.0,359.0,,409.0,434.0
CK740,Midwifery,509.0,,509.0,543.0,484.0,,473.0,507.0,444.0,,440.0,455.0
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,60.0,60.0,61.0,57.0,,57.0,58.0,58.0,,57.0,58.0
AC120,International Business,294.0,294.0,294.0,352.0,209.0,,209.0,280.0,234.0,,269.0,288.0
AC137,Liberal Arts,271.0,270.0,270.0,334.0,252.0,,252.0,270.0,252.0,,219.0,298.0
CT125,Computing and IT,242.0,242.0,242.0,334.0,220.0,,220.0,299.0,235.0,,263.0,263.0
CT325,Business,253.0,253.0,253.0,337.0,338.0,,281.0,338.0,,,289.0,289.0
CM001,Education - Primary Teaching,508.0,,508.0,518.0,484.0,,484.0,487.0,452.0,,462.0,473.0
CM002,Education - Primary Teaching - Gaeltacht Applicants,462.0,,462.0,506.0,,,,,421.0,,434.0,447.0
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,513.0,,513.0,546.0,528.0,,528.0,570.0,491.0,,,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),480.0,,480.0,618.0,494.0,,494.0,513.0,492.0,,,
CM010,Education Studies,382.0,327.0,327.0,440.0,319.0,,317.0,407.0,317.0,,326.0,392.0
CM020,Early Childhood Education,317.0,,317.0,377.0,327.0,,327.0,390.0,336.0,,326.0,356.0
DB500,Computing,234.0,234.0,204.0,333.0,218.0,218.0,218.0,301.0,242.0,,209.0,243.0
DB501,Computing (Cloud Computing),,178.0,178.0,309.0,227.0,227.0,227.0,280.0,326.0,,276.0,281.0
DB502,Computing (Data Analytics and Big Data),267.0,233.0,233.0,351.0,341.0,341.0,334.0,377.0,269.0,,243.0,243.0
DB503,Computing (Software Development),,,,0.0,225.0,225.0,225.0,281.0,242.0,,278.0,308.0
DB504,Computing (Web and Mobile Technology),,,,0.0,,281.0,281.0,281.0,227.0,,,
DB510,Audio Production and Music Project Management,217.0,217.0,217.0,317.0,234.0,223.0,223.0,290.0,233.0,,,
DB512,Business Studies,243.0,210.0,210.0,347.0,218.0,203.0,203.0,308.0,229.0,,236.0,332.0
DB514,Business Studies (Law),239.0,225.0,225.0,346.0,252.0,,251.0,270.0,269.0,,200.0,306.0
DB515,Business Studies (Human Resource Management),242.0,217.0,217.0,318.0,244.0,244.0,244.0,326.0,225.0,,262.0,280.0
DB517,Marketing (Event Management),233.0,225.0,225.0,336.0,238.0,,238.0,309.0,226.0,,223.0,287.0
DB518,Marketing (Digital Media),307.0,209.0,209.0,354.0,,,,,210.0,,230.0,358.0
DB521,Accounting and Finance,243.0,228.0,228.0,379.0,225.0,195.0,195.0,318.0,225.0,,254.0,295.0
DB524,Business (Information Systems),247.0,239.0,239.0,327.0,342.0,309.0,309.0,409.0,402.0,,,
DB525,Marketing (Digital Media and Cloud Computing),288.0,288.0,288.0,337.0,,,,,284.0,,230.0,230.0
DB526,Business (Cloud Computing),244.0,244.0,244.0,327.0,347.0,,347.0,423.0,253.0,,272.0,291.0
DB527,Applied Social Care,254.0,219.0,219.0,308.0,234.0,260.0,234.0,306.0,235.0,,,
DB531,Marketing,288.0,176.0,176.0,368.0,293.0,,293.0,336.0,220.0,,230.0,298.0
DB562,Psychology,244.0,233.0,233.0,342.0,243.0,229.0,229.0,322.0,208.0,,202.0,300.0
DB566,Social Science,262.0,228.0,228.0,319.0,220.0,227.0,220.0,290.0,216.0,,210.0,288.0
DB567,Film and Creative Media,245.0,213.0,213.0,298.0,218.0,202.0,202.0,290.0,192.0,,209.0,294.0
DB568,Law,254.0,228.0,228.0,347.0,219.0,252.0,217.0,309.0,245.0,,203.0,300.0
DB569,Business (Psychology),240.0,240.0,240.0,338.0,252.0,,252.0,284.0,279.0,,253.0,295.0
DC001,Education - Early Childhood Education,445.0,,445.0,474.0,440.0,,440.0,462.0,398.0,,388.0,418.0
DC002,Education - Primary Teaching,518.0,,518.0,543.0,488.0,,488.0,520.0,462.0,,464.0,496.0
DC003,Education - Primary Teaching - Gaeltacht Applicants,489.0,,496.0,509.0,445.0,,445.0,462.0,433.0,,424.0,443.0
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),451.0,,451.0,,411.0,409.0,409.0,463.0,357.0,,397.0,397.0
DC009,Arts (Joint Honours) - Humanities,356.0,,356.0,431.0,376.0,,376.0,423.0,347.0,,356.0,399.0
DC010,Post Primary Teacher Education - Religious Education and English,384.0,,384.0,441.0,441.0,429.0,429.0,465.0,386.0,,349.0,419.0
DC011,Post Primary Teacher Education - Religious Education and History,409.0,,409.0,455.0,412.0,391.0,391.0,429.0,352.0,,373.0,409.0
DC012,Post Primary Teacher Education - Religious Education and Music,409.0,,409.0,451.0,378.0,,378.0,420.0,367.0,,367.0,410.0
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413.0,,413.0,510.0,419.0,,419.0,487.0,410.0,,,
DC014,BA in Jazz and Contemporary Music Performance (audition),311.0,,311.0,634.0,419.0,,419.0,605.0,428.0,,248.0,389.0
