,index,Course Code,Course Title,EOS,Mid,EOS_Points
252,27,GA174,Marketing and Sales,281,369.0,281
253,28,GA175,Finance,280,434.0,280
254,29,GA176,Business with Entrepreneurship,273,350.0,273
255,30,GA272,Heritage Studies,161,297.0,161
256,31,GA273,Contemporary Art,215,358.0,215
257,32,GA274,Design,225,337.0,225
258,33,GA360,Business in Tourism,189,243.0,189
259,34,GA361,Culinary Arts,198,326.0,198
260,35,GA362,Hotel and Hospitality Operations,171,224.0,171
261,36,GA364,Heritage Studies,254,431.0,254
262,37,GA370,Hotel and Catering Management,164,300.0,164
263,38,GA375,Retail Management,164,250.0,164
264,39,GA376,Event Management with Public Relations,200,326.0,200
265,40,GA377,International Tourism Management,162,332.0,162
266,41,GA378,Culinary and Gastronomic Science,189,336.0,189
267,42,GA470,Construction Management,242,320.0,242
268,43,GA471,Quantity Surveying and Construction Economics,206,324.0,206
269,44,GA472,Architectural Technology,228,357.0,228
270,45,GA473,Civil Engineering,241,403.0,241
271,46,GA570,Software and Electronic Engineering,207,317.0,207
272,47,GA670,Mechanical Engineering,260,414.0,260
273,48,GA673,Energy Engineering,242,333.0,242
274,49,GA674,Biomedical Engineering,308,434.0,308
275,50,GA675,Agricultural Engineering,280,389.0,280
276,51,GA676,Engineering (Common entry to Manu/Agri/Biomed/Energy/Mech Eng),290,420.0,290
277,52,GA677,Manufacturing Engineering Design,216,411.0,216
278,53,GA770,Applied Freshwater and Marine Biology,280,387.0,280
279,54,GA771,Applied Biology and Biopharmaceutical Science,280,410.0,280
280,1,GA772,Chemical and Pharmaceutical Science,280,382.0,280
281,2,GA773,Physics and Instrumentation,305,465.0,305
282,3,GA774,Science (Undenominated),280,445.0,280
283,4,GA775,Computing in Software Development,260,361.0,260
284,5,GA776,Computing and Digital Media,240,329.0,240
285,6,GA777,Agriculture and Environmental Management - Mountbellew Campus,290,358.0,290
286,7,GA860,Business - Mayo Campus,,,
287,8,GA862,History and Geography - Mayo Campus,186,320.0,186
288,9,GA869,Business with Administration and ICT Skills - Mayo Campus,,,
289,10,GA870,Outdoor Education and Leisure - Mayo Campus,171,346.0,171
290,11,GA871,Early Childhood Care and Education - Mayo Campus,200,349.0,200
291,12,GA872,Culture and Environment - Mayo Campus,228,316.0,228
292,13,GA875,Sustainable Building Technology - Mayo Campus,173,189.0,173
293,14,GA877,Business - Mayo Campus,,,
294,15,GA878,Accounting and Financial Management - Mayo Campus,171,354.0,171
