,index,Course Code,INSTITUTION and COURSE,EOS,Mid
224,33,TR801,Dental Nursing,379*,430.0
225,34,TR802,Dental Hygiene,#520,531.0
226,35,TR803,Dental Technology,#367,477.0
227,37,DK710,Business and Management,AQA,346.0
228,38,DK711,Business and Technology,131,337.0
229,39,DK712,Digital Marketing and Public Relations,147,328.0
230,40,DK721,Computing,120,295.0
231,41,DK730,Building Surveying,AQA,293.0
232,42,DK731,Architectural Technology,184,340.0
233,43,DK732,Construction Management,138,280.0
234,44,DK740,Engineering - Electrical and Electronic Systems,176,273.0
235,45,DK742,Engineering - Mechanical Engineering,120,325.0
236,46,DK744,Engineering - Civil Engineering,183,345.0
237,47,DK750,Hospitality Management,194,308.0
238,48,DK752,Event Management,AQA,326.0
239,49,DK753,Culinary Arts,165,281.0
240,50,DK763,"Sport, Exercise and Enterprise",200,326.0
241,51,DK767,Community Youth Work,#280,360.0
242,52,DK768,Audio and Music Production,290,424.0
243,53,DK769,Creative Media,140,328.0
244,0,DK770,Theatre & Film Practice,175,369.0
245,1,DK781,Science - Bioscience,268,376.0
246,2,DK783,Science - Pharmaceutical Science,265,367.0
247,3,DK784,Veterinary Nursing,347,388.0
248,5,GA160,Business,162,288.0
249,6,GA170,Business,246,387.0
250,7,GA171,Business Information Systems,246,393.0
251,8,GA172,Rural Enterprise and Agri-Business - Mountbellew Campus,278,358.0
252,9,GA174,Marketing and Sales,283,388.0
253,10,GA175,Finance,301,466.0
254,11,GA176,Business with Entrepreneurship,272,372.0
255,12,GA272,Heritage Studies,160,317.0
256,13,GA273,Contemporary Art,205,398.0
257,14,GA274,Design,214,360.0
258,15,GA360,Business in Tourism,185,293.0
259,16,GA361,Culinary Arts,162,327.0
260,17,GA362,Hotel and Hospitality Operations,187,242.0
261,18,GA364,Heritage Studies,170,224.0
262,19,GA370,Hotel and Catering Management,170,311.0
263,20,GA375,Retail Management,180,264.0
264,21,GA376,Event Management with Public Relations,210,329.0
265,22,GA377,International Tourism Management,176,298.0
266,23,GA378,Culinary and Gastronomic Science,160,289.0
267,24,GA470,Construction Management,243,338.0
268,25,GA471,Quantity Surveying and Construction Economics,205,321.0
269,26,GA472,Architectural Technology,200,352.0
270,27,GA473,Civil Engineering,247,387.0
271,28,GA570,Software and Electronic Engineering,204,389.0
272,29,GA670,Mechanical Engineering,261,392.0
273,30,GA673,Energy Engineering,275,362.0
274,31,GA674,Biomedical Engineering,303,454.0
275,32,GA675,Agricultural Engineering,282,369.0
276,33,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),291,444.0
277,34,GA677,Manufacturing Engineering Design,235,299.0
278,35,GA770,Applied Freshwater and Marine Biology,280,379.0
279,36,GA771,Applied Biology and Biopharmaceutical Science,280,430.0
280,37,GA772,Chemical and Pharmaceutical Science,293,454.0
281,38,GA773,Physics and Instrumentation,308,403.0
282,39,GA774,Science (Undenominated),288,456.0
283,40,GA775,Computing in Software Development,261,343.0
284,41,GA776,Computing and Digital Media,240,308.0
285,42,GA777,Agriculture and Environmental Management - Mountbellew Campus,290,347.0
286,43,GA862,History & Geography - Mayo Campus,161,373.0
287,44,GA870,Outdoor Education and Leisure - Mayo Campus,161,308.0
288,45,GA871,Early Childhood Care and Education - Mayo Campus,190,367.0
289,46,GA872,Culture and Environment - Mayo Campus,224,268.0
290,47,GA879,Applied Social Care - Mayo Campus,242,336.0
291,48,GA970,Furniture Design and Manufacture - Letterfrack Campus,225,372.0
