Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
DK750,Hospitality Management,223,157,157,347.0,176,176,176,279.0,194,308.0,190,279.0
DK752,Event Management,224,211,211,369.0,175,175,175,347.0,AQA,326.0,168,289.0
DK753,Culinary Arts,192,192,192,356.0,182,182,182,387.0,165,281.0,198,318.0
DK763,"Sport, Exercise and Enterprise",205,165,165,350.0,233,,225,329.0,200,326.0,204,300.0
DK767,Community Youth Work (interview),240,240,240,320.0,240,240,240,330.0,280,360.0,240,300.0
DK768,Audio and Music Production,329,285,280,408.0,261,,261,361.0,290,424.0,,
DK769,Creative Media,265,209,179,420.0,165,165,165,318.0,140,328.0,140,330.0
DK770,Theatre and Film Practice,140,140,140,410.0,190,190,190,388.0,175,369.0,194,367.0
DK771,Musical Theatre (audition),,,,0.0,,,,,,,,
DK781,Science - Bioscience,376,,341,485.0,358,328,208,381.0,268,376.0,191,368.0
DK783,Science - Pharmaceutical Science,346,,346,409.0,349,317,210,362.0,265,367.0,169,368.0
DK784,Veterinary Nursing,451,430,399,462.0,399,,399,445.0,347,388.0,379,429.0
GA160,Business (Level 6),168,168,168,298.0,163,163,163,278.0,162,288.0,161,243.0
GA170,Business (Level 7),252,,252,454.0,250,,250,420.0,246,387.0,245,380.0
GA171,Business Information Systems,253,,253,402.0,250,,250,367.0,246,393.0,249,366.0
GA172,Rural Enterprise and Agri-Business,278,,278,388.0,277,,277,382.0,278,358.0,274,349.0
GA174,Marketing and Sales,278,,278,397.0,281,,282,377.0,283,388.0,281,369.0
GA175,Finance,318,,318,499.0,278,,278,467.0,301,466.0,280,434.0
GA176,Business with Entrepreneurship,278,,278,442.0,278,,278,411.0,272,372.0,273,350.0
GA272,Heritage Studies,174,174,174,368.0,188,188,188,363.0,160,317.0,161,297.0
GA273,Contemporary Art (portfolio),775,,775,900.0,702,,702,892.0,205,398.0,215,358.0
GA274,Design,271,,271,402.0,251,,251,378.0,214,360.0,225,337.0
GA360,Business in Tourism,171,,171,376.0,172,172,172,260.0,185,293.0,189,243.0
GA361,Culinary Arts,181,,181,388.0,193,,193,375.0,162,327.0,198,326.0
GA362,Hotel and Hospitality Operations,162,162,162,265.0,240,228,228,330.0,187,242.0,171,224.0
GA364,Heritage Studies,252,252,252,451.0,252,252,252,369.0,170,224.0,254,431.0
GA370,Hotel and Catering Management,163,163,163,359.0,198,,198,362.0,170,311.0,164,300.0
GA376,Event Management with Public Relations,216,,216,408.0,206,187,187,348.0,210,329.0,200,326.0
GA377,International Tourism Management,180,180,180,376.0,172,,172,360.0,176,298.0,162,332.0
GA378,Culinary and Gastronomic Science,200,160,160,350.0,219,,219,432.0,160,289.0,189,336.0
GA470,Construction Management,246,,246,362.0,244,243,243,349.0,243,338.0,242,320.0
GA471,Quantity Surveying and Construction Economics,234,,234,392.0,200,,200,347.0,205,321.0,206,324.0
GA472,Architectural Technology,260,,260,466.0,226,,226,367.0,200,352.0,228,357.0
GA473,Civil Engineering,304,,304,434.0,241,,241,432.0,247,387.0,241,403.0
GA570,Software and Electronic Engineering,225,,225,400.0,224,,224,399.0,204,389.0,207,317.0
GA670,Mechanical Engineering,294,,294,431.0,265,,265,413.0,261,392.0,260,414.0
