Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
TU741,Baking and Pastry Arts Management,231.0,,234.0,,238.0,,
TU742,Culinary Arts,158.0,,155.0,155.0,155.0,,
TU745,Hospitality Management,252.0,,245.0,,245.0,,
TU746,International Hospitality and Tourism Management,157.0,144.0,170.0,170.0,170.0,,
TU747,Tourism Management,263.0,,242.0,,242.0,,
TU751,Biosciences,418.0,,407.0,,407.0,,
TU752,DNA and Forensic Analysis,500.0,442.0,390.0,,390.0,,
TU754,Industrial and Environmental Physics,273.0,,270.0,,270.0,,
TU755,Science (General Entry),361.0,,361.0,,361.0,,
TU756,Computing,201.0,,200.0,195.0,195.0,,
TU757,Computing (Information Technology),227.0,,225.0,,225.0,,
TU758,Digital Forensics and Cyber Security,223.0,,220.0,,220.0,,
TU760,Bioanalysis,360.0,,204.0,204.0,204.0,,
TU761,Ophthalmic Dispensing,316.0,,302.0,,319.0,,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,320.0,,364.0,,364.0,,
TU763,Pharmaceutical Science,391.0,,382.0,349.0,349.0,,
TU772,Business (options),,250.0,,227.0,,,
TU780,Advertising and Marketing Communications,201.0,190.0,179.0,179.0,179.0,,
TU781,Digital Marketing,223.0,,220.0,,220.0,,
TU782,Digital Marketing,200.0,185.0,179.0,179.0,179.0,,
TU787,Business (options),200.0,180.0,,,,,
TU788,Accounting and Finance (campus options),231.0,,,,,,
TU790,Early Childhood Care and Education (campus options,223.0,,,,,,
TU791,Applied Social Studies in Social Care,320.0,,320.0,,320.0,,
TU792,Community and Youth Development,,242.0,101.0,250.0,101.0,,
TU795,Visual Merchandising and Display,618.0,,481.0,,481.0,,
TU796,Creative Digital Media,224.0,,225.0,,225.0,,
TR801,Dental Nursing,490.0,485.0,436.0,419.0,367.0,379.0,357.0
TR802,Dental Hygiene,577.0,565.0,543.0,511.0,498.0,520.0,424.0
TR803,Dental Technology,543.0,498.0,531.0,486.0,359.0,367.0,336.0
DK710,Business and Management,120.0,120.0,120.0,120.0,120.0,,120.0
DK711,Business and Technology,140.0,140.0,191.0,,191.0,131.0,210.0
DK712,Digital Marketing and Public Relations,206.0,195.0,100.0,100.0,100.0,147.0,205.0
DK721,Computing,120.0,120.0,106.0,106.0,106.0,120.0,140.0
DK722,Augmented and Virtual Reality,207.0,207.0,144.0,144.0,144.0,,
DK730,Building Surveying,243.0,204.0,165.0,,165.0,,
DK731,Architectural Technology,253.0,210.0,332.0,,332.0,184.0,200.0
DK732,Construction Management,243.0,229.0,120.0,,120.0,138.0,157.0
DK740,Engineering - Electrical and Electronic Systems,163.0,163.0,179.0,179.0,179.0,176.0,184.0
DK742,Engineering - Mechanical Engineering,166.0,166.0,166.0,166.0,166.0,120.0,140.0
DK744,Engineering - Civil Engineering,165.0,165.0,190.0,157.0,157.0,183.0,183.0
DK750,Hospitality Management,223.0,157.0,176.0,176.0,176.0,194.0,190.0
DK752,Event Management,224.0,211.0,175.0,175.0,175.0,,168.0
DK753,Culinary Arts,192.0,192.0,182.0,182.0,182.0,165.0,198.0
DK763,Sport  Exercise and Enterprise,205.0,165.0,233.0,,225.0,200.0,204.0
DK767,Community Youth Work (interview),240.0,240.0,240.0,240.0,240.0,280.0,240.0
DK768,Audio and Music Production,329.0,285.0,261.0,,261.0,290.0,
DK769,Creative Media,265.0,209.0,165.0,165.0,165.0,140.0,140.0
DK770,Theatre and Film Practice,140.0,140.0,190.0,190.0,190.0,175.0,194.0
DK771,Musical Theatre (audition),,,,,,,
DK781,Science - Bioscience,376.0,,358.0,328.0,208.0,268.0,191.0
DK783,Science - Pharmaceutical Science,346.0,,349.0,317.0,210.0,265.0,169.0
DK784,Veterinary Nursing,451.0,430.0,399.0,,399.0,347.0,379.0
GA160,Business (Level 6),168.0,168.0,163.0,163.0,163.0,162.0,161.0
GA170,Business (Level 7),252.0,,250.0,,250.0,246.0,245.0
GA171,Business Information Systems,253.0,,250.0,,250.0,246.0,249.0
