Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
TU702,Sustainable Energy and Environmental Engineering,249.0,444.0,232.0,351.0,,,,
TU703,Building Engineering,273.0,381.0,260.0,359.0,,,,
TU704,Civil Engineering,260.0,378.0,262.0,361.0,,,,
TU705,Electrical and Control Engineering,272.0,399.0,243.0,339.0,,,,
TU706,Electrical Services Engineering,245.0,327.0,244.0,307.0,,,,
TU708,Engineering (Common Entry with Award options),263.0,384.0,225.0,360.0,,,,
TU709,Engineering (General Entry),400.0,531.0,370.0,487.0,,,,
TU711,Mechatronic Engineering,225.0,373.0,223.0,372.0,,,,
TU713,Computer Engineering,222.0,400.0,221.0,322.0,,,,
TU714,Electronics and Communications Engineering,262.0,420.0,264.0,392.0,,,,
TU716,Networking Technology,249.0,367.0,241.0,386.0,,,,
TU717,Mechanical Engineering,301.0,399.0,300.0,367.0,,,,
TU719,"Design,Technology and Innovation",261.0,391.0,228.0,363.0,,,,
TU720,Automotive Management and Technology,232.0,339.0,232.0,338.0,,,,
TU721,Aviation Technology,302.0,423.0,352.0,434.0,,,,
TU722,Process Instrumentation and Automation Learn and Work (Test&Interview),346.0,548.0,401.0,499.0,,,,
TU725,Mechanical Engineering (General Entry),222.0,398.0,,,,,,
TU726,Electronic Engineering (General Entry),215.0,349.0,,,,,,
TU731,"Auctioneering, Valuation and Estate Agency",330.0,419.0,290.0,372.0,,,,
TU735,Sports Management and Coaching,270.0,377.0,270.0,347.0,,,,
TU736,Sports Science and Health,484.0,532.0,391.0,455.0,,,,
TU737,Sports Studies,250.0,378.0,,,,,,
TU741,Baking and Pastry Arts Management,231.0,456.0,238.0,412.0,,,,
TU742,Culinary Arts,158.0,328.0,155.0,319.0,,,,
TU745,Hospitality Management,252.0,368.0,245.0,357.0,,,,
TU746,International Hospitality and Tourism Management,144.0,347.0,170.0,313.0,,,,
TU747,Tourism Management,263.0,367.0,242.0,369.0,,,,
TU751,Biosciences,418.0,532.0,407.0,509.0,,,,
TU752,DNA and Forensic Analysis,442.0,500.0,390.0,465.0,,,,
TU754,Industrial and Environmental Physics,273.0,476.0,270.0,487.0,,,,
TU755,Science (General Entry),361.0,523.0,361.0,498.0,,,,
TU756,Computing,201.0,388.0,195.0,357.0,,,,
TU757,Computing (Information Technology),227.0,388.0,225.0,352.0,,,,
TU758,Digital Forensics and Cyber Security,223.0,356.0,220.0,337.0,,,,
TU760,Bioanalysis,360.0,426.0,204.0,327.0,,,,
TU761,Ophthalmic Dispensing,316.0,462.0,319.0,434.0,,,,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,320.0,520.0,364.0,510.0,,,,
TU763,Pharmaceutical Science,391.0,473.0,349.0,429.0,,,,
TU772,Business (options),278.0,408.0,187.0,317.0,,,,
TU780,Advertising and Marketing Communications,190.0,371.0,179.0,366.0,,,,
TU781,Digital Marketing,223.0,339.0,220.0,326.0,,,,
TU782,Digital Marketing,185.0,340.0,179.0,287.0,,,,
TU787,Business (options),180.0,429.0,,,,,,
TU788,Accounting and Finance (campus options),231.0,462.0,,,,,,
TU790,Early Childhood Care and Education (campus options),223.0,414.0,,,,,,
TU791,Applied Social Studies in Social Care,320.0,399.0,320.0,378.0,,,,
TU792,Community and Youth Development,180.0,310.0,101.0,288.0,,,,
TU795,Visual Merchandising and Display,618.0,900.0,481.0,763.0,,,,
TU796,Creative Digital Media,224.0,388.0,225.0,383.0,,,,
TR801,Dental Nursing,433.0,498.0,367.0,455.0,379.0,430.0,357.0,434.0
TR802,Dental Hygiene,565.0,613.0,498.0,532.0,520.0,531.0,424.0,462.0
TR803,Dental Technology,434.0,509.0,359.0,456.0,367.0,477.0,336.0,388.0
DK710,Business and Management,120.0,409.0,120.0,352.0,216.0,346.0,120.0,328.0
DK711,Business and Technology,140.0,395.0,191.0,327.0,131.0,337.0,210.0,308.0
DK712,Digital Marketing and Public Relations,190.0,397.0,100.0,349.0,147.0,328.0,205.0,338.0
DK721,Computing,120.0,368.0,106.0,326.0,120.0,295.0,140.0,282.0
DK722,Augmented and Virtual Reality,179.0,331.0,144.0,348.0,,,,
DK730,Building Surveying,204.0,399.0,165.0,330.0,163.0,293.0,,
DK731,Architectural Technology,210.0,414.0,332.0,392.0,184.0,340.0,200.0,343.0
DK732,Construction Management,229.0,368.0,120.0,321.0,138.0,280.0,157.0,288.0
DK740,Engineering - Electrical and Electronic Systems,163.0,329.0,179.0,339.0,176.0,273.0,184.0,298.0
DK742,Engineering - Mechanical Engineering,166.0,344.0,166.0,312.0,120.0,325.0,140.0,289.0
DK744,Engineering - Civil Engineering,165.0,399.0,157.0,341.0,183.0,345.0,183.0,326.0
DK750,Hospitality Management,157.0,347.0,176.0,279.0,194.0,308.0,190.0,279.0
DK752,Event Management,211.0,369.0,175.0,347.0,196.0,326.0,168.0,289.0
DK753,Culinary Arts,192.0,356.0,182.0,387.0,165.0,281.0,198.0,318.0
DK763,"Sport, Exercise and Enterprise",165.0,350.0,225.0,329.0,200.0,326.0,204.0,300.0
DK767,Community Youth Work (interview),240.0,320.0,240.0,330.0,280.0,360.0,240.0,300.0
DK768,Audio and Music Production,280.0,408.0,261.0,361.0,290.0,424.0,,
DK769,Creative Media,179.0,420.0,165.0,318.0,140.0,328.0,140.0,330.0
DK770,Theatre and Film Practice,140.0,410.0,190.0,388.0,175.0,369.0,194.0,367.0
DK771,Musical Theatre (audition),,0.0,,,,,,
DK781,Science - Bioscience,341.0,485.0,208.0,381.0,268.0,376.0,191.0,368.0
DK783,Science - Pharmaceutical Science,346.0,409.0,210.0,362.0,265.0,367.0,169.0,368.0
DK784,Veterinary Nursing,399.0,462.0,399.0,445.0,347.0,388.0,379.0,429.0
GA160,Business (Level 6),168.0,298.0,163.0,278.0,162.0,288.0,161.0,243.0
GA170,Business (Level 7),252.0,454.0,250.0,420.0,246.0,387.0,245.0,380.0
GA171,Business Information Systems,253.0,402.0,250.0,367.0,246.0,393.0,249.0,366.0
GA172,Rural Enterprise and Agri-Business,278.0,388.0,277.0,382.0,278.0,358.0,274.0,349.0
GA174,Marketing and Sales,278.0,397.0,282.0,377.0,283.0,388.0,281.0,369.0
GA175,Finance,318.0,499.0,278.0,467.0,301.0,466.0,280.0,434.0
GA176,Business with Entrepreneurship,278.0,442.0,278.0,411.0,272.0,372.0,273.0,350.0
GA272,Heritage Studies,174.0,368.0,188.0,363.0,160.0,317.0,161.0,297.0
GA273,Contemporary Art (portfolio),775.0,900.0,702.0,892.0,205.0,398.0,215.0,358.0
GA274,Design,271.0,402.0,251.0,378.0,214.0,360.0,225.0,337.0
GA360,Business in Tourism,171.0,376.0,172.0,260.0,185.0,293.0,189.0,243.0
GA361,Culinary Arts,181.0,388.0,193.0,375.0,162.0,327.0,198.0,326.0
GA362,Hotel and Hospitality Operations,162.0,265.0,228.0,330.0,187.0,242.0,171.0,224.0
GA364,Heritage Studies,252.0,451.0,252.0,369.0,170.0,224.0,254.0,431.0
GA370,Hotel and Catering Management,163.0,359.0,198.0,362.0,170.0,311.0,164.0,300.0
GA376,Event Management with Public Relations,216.0,408.0,187.0,348.0,210.0,329.0,200.0,326.0
GA377,International Tourism Management,180.0,376.0,172.0,360.0,176.0,298.0,162.0,332.0
GA378,Culinary and Gastronomic Science,160.0,350.0,219.0,432.0,160.0,289.0,189.0,336.0
GA470,Construction Management,246.0,362.0,243.0,349.0,243.0,338.0,242.0,320.0
GA471,Quantity Surveying and Construction Economics,234.0,392.0,200.0,347.0,205.0,321.0,206.0,324.0
